project,model,experiment,member,variable,version
CMIP6,CanESM5,ssp126,r1i1p1f1,tas,v20190429
CMIP6,CanESM5,ssp245,r1i1p1f1,tas,v20190429
CMIP6,CanESM5,ssp370,r1i1p1f1,tas,v20190429
CMIP6,CanESM5,ssp460,r1i1p1f1,tas,v20190429
CMIP6,CanESM5,ssp585,r1i1p1f1,tas,v20190429
CMIP6,CESM2,historical,r4i1p1f1,tas,v20190401
CMIP6,CESM2,ssp126,r4i1p1f1,tas,v20200528
CMIP6,CESM2,ssp245,r4i1p1f1,tas,v20200528
CMIP6,CESM2,ssp370,r4i1p1f1,tas,v20200528
CMIP6,CESM2,ssp585,r4i1p1f1,tas,v20200528
CMIP6,CESM2-WACCM,historical,r1i1p1f1,tas,v20190227
CMIP6,CESM2-WACCM,ssp126,r1i1p1f1,tas,v20190815
CMIP6,CESM2-WACCM,ssp245,r1i1p1f1,tas,v20190815
CMIP6,CESM2-WACCM,ssp370,r1i1p1f1,tas,v20190815
CMIP6,CESM2-WACCM,ssp585,r1i1p1f1,tas,v20200702
CMIP6,CMCC-CM2-SR5,historical,r1i1p1f1,tas,v20200616
CMIP6,CMCC-CM2-SR5,ssp126,r1i1p1f1,tas,v20200717
CMIP6,CMCC-CM2-SR5,ssp245,r1i1p1f1,tas,v20200617
CMIP6,CMCC-CM2-SR5,ssp370,r1i1p1f1,tas,v20200622
CMIP6,CMCC-CM2-SR5,ssp585,r1i1p1f1,tas,v20200622
CMIP6,CNRM-CM6-1,historical,r1i1p1f2,tas,v20180917
CMIP6,CNRM-CM6-1,ssp126,r1i1p1f2,tas,v20190219
CMIP6,CNRM-CM6-1,ssp245,r1i1p1f2,tas,v20190219
CMIP6,CNRM-CM6-1,ssp370,r1i1p1f2,tas,v20190219
CMIP6,CNRM-CM6-1,ssp585,r1i1p1f2,tas,v20190219
CMIP6,CNRM-CM6-1-HR,historical,r1i1p1f2,tas,v20191021
CMIP6,CNRM-CM6-1-HR,ssp126,r1i1p1f2,tas,v20200127
CMIP6,CNRM-CM6-1-HR,ssp245,r1i1p1f2,tas,v20191202
CMIP6,CNRM-CM6-1-HR,ssp370,r1i1p1f2,tas,v20200127
CMIP6,CNRM-CM6-1-HR,ssp585,r1i1p1f2,tas,v20191202
CMIP6,CNRM-ESM2-1,historical,r1i1p1f2,tas,v20181206
CMIP6,CNRM-ESM2-1,ssp126,r1i1p1f2,tas,v20190328
CMIP6,CNRM-ESM2-1,ssp245,r1i1p1f2,tas,v20190328
CMIP6,CNRM-ESM2-1,ssp370,r1i1p1f2,tas,v20191021
CMIP6,CNRM-ESM2-1,ssp460,r1i1p1f2,tas,v20190328
CMIP6,CNRM-ESM2-1,ssp585,r1i1p1f2,tas,v20191021
CMIP6,EC-Earth3,historical,r1i1p1f1,tas,v20200310
CMIP6,EC-Earth3,ssp126,r1i1p1f1,tas,v20200310
CMIP6,EC-Earth3,ssp245,r1i1p1f1,tas,v20200310
CMIP6,EC-Earth3,ssp370,r1i1p1f1,tas,v20200310
CMIP6,EC-Earth3,ssp585,r1i1p1f1,tas,v20200310
CMIP6,EC-Earth3-Veg,historical,r1i1p1f1,tas,v20200225
CMIP6,EC-Earth3-Veg,ssp126,r1i1p1f1,tas,v20200225
CMIP6,EC-Earth3-Veg,ssp245,r1i1p1f1,tas,v20200225
CMIP6,EC-Earth3-Veg,ssp370,r1i1p1f1,tas,v20200225
CMIP6,EC-Earth3-Veg,ssp585,r1i1p1f1,tas,v20200225
CMIP6,FGOALS-g3,historical,r1i1p1f1,tas,v20190826
CMIP6,FGOALS-g3,ssp126,r1i1p1f1,tas,"v20190818,v20190819"
