name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
local,0,940.6001858711243,502412,2140965,2764,2812,0,0,0,0,8
local,1,867.0636813640594,219023,210851,1986,2028,0,0,0,0,8
local,2,865.5082936286926,539543,3118620,2745,2793,0,0,0,0,8
local,3,853.7601246833801,221236,212259,2025,2061,0,0,0,0,8
local,4,844.790632724762,224307,350351,1962,2012,0,0,0,0,8
local,0,1035.6230959892273,299657,584730,2488,2535,0,0,0,0,4
local,1,1031.4019207954407,950705,6567827,4024,4117,0,0,0,0,4
local,2,1017.1547441482544,1203845,8890629,4565,4775,0,0,0,0,4
local,3,1016.6832931041718,1205780,8818346,4613,4781,0,0,0,0,4
local,4,1011.2439343929291,1187194,8801963,4508,4766,0,0,0,0,4
local,0,1458.9068233966827,1750522,12696874,6693,6890,0,0,0,0,2
local,1,1464.1702103614807,1713016,12751077,6447,6810,0,0,0,0,2
local,2,1460.0578684806824,1711654,12684961,6523,6871,0,0,0,0,2
local,3,1446.4449684619904,1700804,12590229,6433,6736,0,0,0,0,2
local,4,1436.5273704528809,1680499,12486769,6419,6719,0,0,0,0,2
local,0,2420.2065620422363,2818476,21098838,10634,11269,0,0,0,0,1
local,1,2438.6938033103943,2859571,21210338,10983,11419,0,0,0,0,1
local,2,2460.528528213501,2876820,21385448,11025,11517,0,0,0,0,1
local,3,2429.8402647972107,2843757,21127465,10828,11409,0,0,0,0,1
local,4,2481.6524703502655,2902189,21630192,11024,11613,0,0,0,0,1
opendap-hub-uncompressed,0,2014.1639964580536,93942459175,922835784,21090777,13410644,0,0,0,0,8
opendap-hub-uncompressed,1,2055.3447482585907,93988595395,940404247,21802747,13796049,0,0,0,0,8
opendap-hub-uncompressed,2,2176.9687099456787,94034664004,979436355,22491930,14247208,0,0,0,0,8
opendap-hub-uncompressed,3,1992.392828464508,93958338103,926962153,21337467,13482505,0,0,0,0,8
opendap-hub-uncompressed,4,1945.6152708530426,93948805507,921686851,21194379,13437480,0,0,0,0,8
opendap-hub-uncompressed,0,2079.139486551285,93721031703,765574424,17740443,11123927,0,0,0,0,4
opendap-hub-uncompressed,1,2103.7267503738403,93738730071,773929497,18001665,11180346,0,0,0,0,4
opendap-hub-uncompressed,2,2099.0672223567963,93751428609,777323678,18196997,11231968,0,0,0,0,4
opendap-hub-uncompressed,3,2098.3986916542053,93750805087,766580142,18202560,11226424,0,0,0,0,4
opendap-hub-uncompressed,4,2082.8945801258087,93742986119,772885295,18077472,11251441,0,0,0,0,4
opendap-hub-uncompressed,0,2764.553011417389,93763056945,741768138,18373377,10827252,0,0,0,0,2
opendap-hub-uncompressed,1,2780.8508541584015,93766448935,735487929,18439861,10868711,0,0,0,0,2
opendap-hub-uncompressed,2,2758.7478840351105,93772525825,736303106,18531759,10888379,0,0,0,0,2
opendap-hub-uncompressed,3,2781.6218779087067,93765473113,735731234,18425198,10879569,0,0,0,0,2
opendap-hub-uncompressed,4,2754.19092297554,93765901473,736579667,18432642,10892166,0,0,0,0,2
opendap-hub-uncompressed,0,4372.997840166092,93779251478,740058507,18625038,10919023,0,0,0,0,1
opendap-hub-uncompressed,1,4384.314624071121,93769685042,733867839,18484698,10831334,0,0,0,0,1
opendap-hub-uncompressed,2,4417.7219750881195,93775317464,731902072,18579485,10823997,0,0,0,0,1
opendap-hub-uncompressed,3,4355.038648605347,93774906397,734414714,18572254,10861901,0,0,0,0,1
opendap-hub-uncompressed,4,4370.627189159393,93773605155,742635700,18538936,10941893,0,0,0,0,1
opendap-hub-compressed,0,1649.3243639469147,51898152055,430366278,10933426,6160523,0,0,0,0,8
opendap-hub-compressed,1,1634.5217123031616,51895692678,437986454,10887441,6144068,0,0,0,0,8
opendap-hub-compressed,2,1664.3148550987244,51899565679,437749508,10961174,6162821,0,0,0,0,8
opendap-hub-compressed,3,1625.511539697647,51897036831,436250526,10924639,6145442,0,0,0,0,8
opendap-hub-compressed,4,1605.4792246818542,51893436944,434608114,10869322,6121776,0,0,0,0,8
opendap-hub-compressed,0,1885.3979468345642,51758706015,391452404,8817516,5448805,0,0,0,0,4
opendap-hub-compressed,1,1854.0636010169983,51762320550,391857728,8873963,5456906,0,0,0,0,4
opendap-hub-compressed,2,1866.2695050239563,51760565339,391582687,8847961,5452789,0,0,0,0,4
opendap-hub-compressed,3,1875.5359437465668,51761875761,391193596,8868099,5446348,0,0,0,0,4
opendap-hub-compressed,4,1846.2232642173767,51759315565,390880806,8828449,5443370,0,0,0,0,4
opendap-hub-compressed,0,2815.6761050224304,51843682431,407552732,10079933,5599118,0,0,0,0,2
opendap-hub-compressed,1,2813.5537645816803,51845508761,406386460,10108117,5582599,0,0,0,0,2
opendap-hub-compressed,2,2820.47332072258,51843831863,406521570,10080619,5582545,0,0,0,0,2
opendap-hub-compressed,3,2826.8580384254456,51844672086,406984239,10095436,5589399,0,0,0,0,2
opendap-hub-compressed,4,2819.8184604644775,51842123496,405958002,10056458,5574923,0,0,0,0,2
opendap-hub-compressed,0,4900.981307029724,51924294331,444440818,11260498,5943649,0,0,0,0,1
opendap-hub-compressed,1,4892.412506341934,51929280570,431819126,11338195,5965062,0,0,0,0,1
opendap-hub-compressed,2,4890.377633333206,51938358193,418867333,11483639,6052563,0,0,0,0,1
opendap-hub-compressed,3,4927.163134098053,51929894952,448176824,11299088,5899935,0,0,0,0,1
opendap-hub-compressed,4,4898.256392240524,51928023693,448123356,11275244,5934810,0,0,0,0,1
