name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
local,0,940.6001858711243,502412,2140965,2764,2812,0,0,0,0,8
local,1,867.0636813640594,219023,210851,1986,2028,0,0,0,0,8
local,2,865.5082936286926,539543,3118620,2745,2793,0,0,0,0,8
local,3,853.7601246833801,221236,212259,2025,2061,0,0,0,0,8
local,4,844.790632724762,224307,350351,1962,2012,0,0,0,0,8
local,0,1035.6230959892273,299657,584730,2488,2535,0,0,0,0,4
local,1,1031.4019207954407,950705,6567827,4024,4117,0,0,0,0,4
local,2,1017.1547441482544,1203845,8890629,4565,4775,0,0,0,0,4
local,3,1016.6832931041718,1205780,8818346,4613,4781,0,0,0,0,4
local,4,1011.2439343929291,1187194,8801963,4508,4766,0,0,0,0,4
local,0,1458.9068233966827,1750522,12696874,6693,6890,0,0,0,0,2
local,1,1464.1702103614807,1713016,12751077,6447,6810,0,0,0,0,2
local,2,1460.0578684806824,1711654,12684961,6523,6871,0,0,0,0,2
local,3,1446.4449684619904,1700804,12590229,6433,6736,0,0,0,0,2
local,4,1436.5273704528809,1680499,12486769,6419,6719,0,0,0,0,2
local,0,2420.2065620422363,2818476,21098838,10634,11269,0,0,0,0,1
local,1,2438.6938033103943,2859571,21210338,10983,11419,0,0,0,0,1
local,2,2460.528528213501,2876820,21385448,11025,11517,0,0,0,0,1
local,3,2429.8402647972107,2843757,21127465,10828,11409,0,0,0,0,1
local,4,2481.6524703502655,2902189,21630192,11024,11613,0,0,0,0,1
opendap-hub-uncompressed,0,1240.890694618225,187576847986,96308213112,28719715,26886668,0,0,0,0,8
opendap-hub-uncompressed,1,1236.1615726947784,186312924203,94199951862,28186187,26254035,0,0,0,0,8
opendap-hub-uncompressed,2,1221.050119638443,186815641938,95209558723,28687010,26892784,0,0,0,0,8
opendap-hub-uncompressed,3,1238.1642534732819,192246499681,102042746826,29791102,27697744,0,0,0,0,8
opendap-hub-uncompressed,4,1226.7740364074707,186666630378,94858718074,28558154,26657409,0,0,0,0,8
opendap-hub-uncompressed,0,1515.705323457718,186655527708,94889108197,27362164,25691478,0,0,0,0,4
opendap-hub-uncompressed,1,1572.199143409729,186604740386,94426155588,27162162,25432432,0,0,0,0,4
opendap-hub-uncompressed,2,1790.0863530635834,250668965985,96143538175,33470640,31187573,0,0,0,0,4
opendap-hub-uncompressed,3,1748.1962440013885,242672426805,94455736097,32300704,30020405,0,0,0,0,4
opendap-hub-uncompressed,4,1570.0540916919708,186143110714,94032686752,26824154,25062810,0,0,0,0,4
opendap-hub-uncompressed,0,2461.7498331069946,294039397161,94774773084,36379026,33505549,0,0,0,0,2
opendap-hub-uncompressed,1,2338.1056432724,200605125147,94098399996,28008631,25572786,0,0,0,0,2
opendap-hub-uncompressed,2,2420.8569235801697,186116233622,93968030028,26605106,24222709,0,0,0,0,2
opendap-hub-uncompressed,3,2391.281807422638,186105625153,93957261553,26618200,24236824,0,0,0,0,2
opendap-hub-uncompressed,4,2355.6173615455627,186119579849,93971306079,26645530,24265557,0,0,0,0,2
opendap-hub-uncompressed,0,4270.580174446106,186462594313,94412302676,27553281,23760353,0,0,0,0,1
opendap-hub-uncompressed,1,4345.630928277969,186151653193,93885614669,26554187,22411724,0,0,0,0,1
opendap-hub-uncompressed,2,4150.1076095104218,186153754103,93881663479,26606539,22350957,0,0,0,0,1
opendap-hub-uncompressed,3,4014.7978460788727,186175090282,93901818024,26910690,22631069,0,0,0,0,1
opendap-hub-uncompressed,4,4085.921005010605,186156996549,93878772682,26820877,22472738,0,0,0,0,1
opendap-hub-compressed,0,1267.8811411857605,144400114146,52135486241,20056437,15885606,0,0,0,0,8
opendap-hub-compressed,1,1251.6185352802277,144409829794,52143539880,20079440,15898194,0,0,0,0,8
opendap-hub-compressed,2,1237.342677116394,144443208981,52182283509,20279641,16191214,0,0,0,0,8
opendap-hub-compressed,3,1242.6289553642273,144442185570,52179338015,20239856,16135951,0,0,0,0,8
opendap-hub-compressed,4,1255.6427478790283,144515393878,52248183463,20197041,16068146,0,0,0,0,8
opendap-hub-compressed,0,1753.068412065506,144376666029,52069468542,19472221,14702503,0,0,0,0,4
opendap-hub-compressed,1,1767.9767725467682,144655473392,52279619140,19481632,14706030,0,0,0,0,4
opendap-hub-compressed,2,1753.5990405082703,144778358670,52427532967,19576273,14795118,0,0,0,0,4
opendap-hub-compressed,3,1757.1986186504364,144211474334,45189268707,18278276,12001253,0,0,0,0,4
opendap-hub-compressed,4,1767.396744966507,144388300914,52083700972,19516811,14699619,0,0,0,0,4
opendap-hub-compressed,0,2928.3646750450134,144441316407,52082397634,20096287,14480722,0,0,0,0,2
opendap-hub-compressed,1,2944.5279762744904,144431255185,52070763385,19964349,14382172,0,0,0,0,2
opendap-hub-compressed,2,3145.5409705638885,246222836242,54501318045,28796169,22664221,0,0,0,0,2
opendap-hub-compressed,3,3059.469763278961,202927557810,52699355764,24948981,19179780,0,0,0,0,2
opendap-hub-compressed,4,2979.6613245010376,144520754098,52150611852,19772841,14411370,0,0,0,0,2
opendap-hub-compressed,0,5504.685068368912,153623928870,64049969944,24535036,16494259,0,0,0,0,1
opendap-hub-compressed,1,5524.376603603363,144495523208,51985417331,21619454,13688699,0,0,0,0,1
opendap-hub-compressed,2,5747.573661804199,144740691541,52454433443,21686024,14824837,0,0,0,0,1
opendap-hub-compressed,3,5665.378340244293,144672348218,52260658569,21623046,14658454,0,0,0,0,1
opendap-hub-compressed,4,5743.66064453125,145117669084,53022078193,22475679,15031634,0,0,0,0,1
