name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
local,0,937.1972944736481,32725026,15795957,199730,71019,0,0,469,0,8
local,1,923.5452671051025,29973398,13535237,189416,59225,0,0,461,0,8
local,2,924.1056778430939,30065074,13018348,186523,55943,0,0,462,0,8
local,3,924.5863993167877,29135474,14342614,188949,61156,0,0,463,0,8
local,4,922.175281047821,29198997,13468798,186798,58004,0,0,461,0,8
local,0,878.981960773468,32389443,19169447,204917,94715,0,0,439,0,4
local,1,884.9774985313416,32770421,19613373,207624,94168,0,0,443,0,4
local,2,961.8581047058105,40962787,25073064,256725,123845,0,0,481,0,4
local,3,1447.055962562561,112387680,42337976,375857,174200,0,0,723,0,4
local,4,1058.248599767685,2350195578,54650642,469752,280031,0,0,529,0,4
local,0,3037.2012503147125,13989929379,167674581,2233427,1375440,0,0,1519,0,2
local,1,3007.8527953624725,10681079031,153578925,2105687,1272674,0,0,1504,0,2
local,2,3011.6028373241425,15297986651,220602964,2710726,1577370,0,0,1506,0,2
local,3,3161.0797696113586,261178357,119690540,930025,513451,0,0,1580,0,2
local,4,2951.3943898677826,815502650,115434547,896409,509771,0,0,1476,0,2
local,0,6018.192151546478,286043424,123399593,1454110,689912,0,0,3009,0,1
local,1,6217.551050662994,265307372,128059123,1402639,751331,0,0,3109,0,1
local,2,5933.2084040641785,212891852,127058385,1359777,728476,0,0,2967,0,1
local,3,5906.438081502914,205149643,121126200,1454005,657423,0,0,2953,0,1
local,4,6297.107857227325,264469740,125254335,1541873,671487,0,0,3148,0,1
opendap-hub-uncompressed,0,1375.7868163585663,93355013983,670427208,10100307,6991061,0,0,688,0,8
opendap-hub-uncompressed,1,1413.8365485668182,93356224462,652265827,10000517,6892352,0,0,707,0,8
opendap-hub-uncompressed,2,2032.5245592594147,93366286718,576716812,9903755,6683277,0,0,1016,0,8
opendap-hub-uncompressed,3,1639.5242834091187,93368057628,616227513,9876677,6774887,0,0,820,0,8
opendap-hub-uncompressed,4,1361.830160856247,93353787873,605227674,9912802,6737213,0,0,681,0,8
opendap-hub-uncompressed,0,1563.9946327209473,93232669495,531371843,8111661,5817427,0,0,782,0,4
opendap-hub-uncompressed,1,1848.4773297309875,93256935690,534542244,8121717,5810356,0,0,924,0,4
opendap-hub-uncompressed,2,1526.722960472107,104070917731,572376051,8663691,6332579,0,0,763,0,4
opendap-hub-uncompressed,3,1441.4071080684662,101751855437,567111019,8475707,6167452,0,0,721,0,4
opendap-hub-uncompressed,4,1724.1754775047302,93257369941,526719990,8105765,5800633,0,0,862,0,4
opendap-hub-uncompressed,0,2353.296149969101,93272152498,633327597,7635713,5813014,0,0,1177,0,2
opendap-hub-uncompressed,1,2083.163969516754,93287031094,595556656,7680764,5894645,0,0,1041,0,2
opendap-hub-uncompressed,2,2389.1275193691254,93307310637,615069911,7691602,5859724,0,0,1195,0,2
opendap-hub-uncompressed,3,2133.425279378891,93265432380,563811044,7804882,5886235,0,0,1067,0,2
opendap-hub-uncompressed,4,2043.8088493347168,93246993681,534629711,7729129,5826634,0,0,1022,0,2
opendap-hub-uncompressed,0,3278.7418401241302,93309857343,594177983,7658878,5910503,0,0,1639,0,1
opendap-hub-uncompressed,1,3183.5407123565674,93300949782,595561706,7583472,5889286,0,0,1592,0,1
opendap-hub-uncompressed,2,3203.4143254756927,93292916138,589694007,7601262,5864296,0,0,1601,0,1
opendap-hub-uncompressed,3,3190.290627002716,93286042257,593819856,7604589,5876116,0,0,1595,0,1
opendap-hub-uncompressed,4,3265.2900981903076,93307569812,591701170,7561266,5835048,0,0,1633,0,1
opendap-hub-compressed,0,1508.0710365772247,51608928645,270926892,5143203,2685004,0,0,754,0,8
opendap-hub-compressed,1,1493.4163582324982,51603829766,270815519,5128971,2674314,0,0,747,0,8
opendap-hub-compressed,2,1499.7581973075867,51602415939,272952456,5152887,2690115,0,0,750,0,8
opendap-hub-compressed,3,1592.2846474647522,69812259621,519993539,6662408,4650354,0,0,796,0,8
opendap-hub-compressed,4,1739.0348913669586,51680246052,431074416,5573737,3133194,0,0,869,0,8
opendap-hub-compressed,0,2110.528864145279,51690995213,393401942,5863635,3787741,0,0,1056,0,4
opendap-hub-compressed,1,1753.4034085273743,51659426453,394523203,5798599,3742487,0,0,876,0,4
opendap-hub-compressed,2,1821.0279650688171,51680365633,392443000,5840176,3698766,0,0,911,0,4
opendap-hub-compressed,3,1644.8699309825897,51669119376,359344352,5804860,3648488,0,0,822,0,4
